id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can add permission,2,add_permission
5,Can change permission,2,change_permission
6,Can delete permission,2,delete_permission
7,Can add group,3,add_group
8,Can change group,3,change_group
9,Can delete group,3,delete_group
10,Can add user,4,add_user
11,Can change user,4,change_user
12,Can delete user,4,delete_user
13,Can add content type,5,add_contenttype
14,Can change content type,5,change_contenttype
15,Can delete content type,5,delete_contenttype
16,Can add session,6,add_session
17,Can change session,6,change_session
18,Can delete session,6,delete_session
19,Can add record,7,add_record
20,Can change record,7,change_record
21,Can delete record,7,delete_record
22,Can add genre,8,add_genre
23,Can change genre,8,change_genre
24,Can delete genre,8,delete_genre
25,Can add format,9,add_format
26,Can change format,9,change_format
27,Can delete format,9,delete_format
28,Can add artist,10,add_artist
29,Can change artist,10,change_artist
30,Can delete artist,10,delete_artist
