id,app,name,applied
1,contenttypes,0001_initial,2017-05-22 19:29:03.983470
2,auth,0001_initial,2017-05-22 19:29:04.514557
3,admin,0001_initial,2017-05-22 19:29:04.702236
4,admin,0002_logentry_remove_auto_add,2017-05-22 19:29:04.717739
5,contenttypes,0002_remove_content_type_name,2017-05-22 19:29:04.811479
6,auth,0002_alter_permission_name_max_length,2017-05-22 19:29:04.873971
7,auth,0003_alter_user_email_max_length,2017-05-22 19:29:04.920850
8,auth,0004_alter_user_username_opts,2017-05-22 19:29:04.936478
9,auth,0005_alter_user_last_login_null,2017-05-22 19:29:04.983596
10,auth,0006_require_contenttypes_0002,2017-05-22 19:29:04.998984
11,auth,0007_alter_validators_add_error_messages,2017-05-22 19:29:05.014612
12,auth,0008_alter_user_username_max_length,2017-05-22 19:29:05.077228
13,sessions,0001_initial,2017-05-22 19:29:05.124032
14,OGVinyl,0001_initial,2017-05-22 19:56:40.178417
15,OGVinyl,0002_auto_20170522_2248,2017-05-22 20:49:13.066230
16,OGVinyl,0003_auto_20170525_0728,2017-05-25 05:28:58.978038
17,OGVinyl,0004_record_owned,2017-05-25 05:42:27.011101
18,OGVinyl,0005_auto_20170525_0757,2017-05-25 05:58:02.776895
19,OGVinyl,0006_auto_20170525_0907,2017-05-25 07:07:11.777743
20,OGVinyl,0007_auto_20170526_0728,2017-05-26 05:28:52.570578
21,OGVinyl,0008_auto_20170526_0730,2017-05-26 05:30:50.131085
22,OGVinyl,0009_record_image,2017-06-03 12:08:41.882023
23,OGVinyl,0010_record_featured,2017-06-03 12:23:45.588491
24,OGVinyl,0011_record_created,2017-06-03 14:04:04.415827
