id,name,year,release,description,artist_id,medium_id,owned,note,image,featured,created
1,Gentle Giant,1970,Time 711,"Gentle Giant burst onto the scene with an astonishingly well-developed and innovative album comparable to very little else on the scene at the time (aside from perhaps some parts of King Crimson). The incorporation of medieval-inspired harmonies add a novel twist to the music, and the band's command of mood is masterful - Funny Ways, for instance, changes from a quiet folk ballad with trumpet flourishes into a jazzy workout at the drop of a pin.",1,1,1,,cover-gentle_giant.jpg,1,2017-06-03 14:04:04.334626
2,Acquiring the Taste,1971,TPT 257,"GG's debut has always been my favorite but it's admittedly not very representative of their sound. This second album is where the classic GG sound truly begins and it is arguably the best album in this style. The complexity doesn't seem like a gimmick yet and is paired with remarkable beauty rare to complex prog. 'Black Cat', 'Edge of Twilight' and 'The Moon Is Down' are particularly lovely.",1,1,1,,cover-acquiring.jpg,0,2017-06-04 08:25:38.824411
3,Three Friends,1972,TPT 271,"Smooth progressive rock with a really good funky groove to it. Great tight playing, and actually a very nice sound world is used on this album. Mellow, melodic easy to listen to. Great melodies and harmonies with also some complex structures in the music (the groovy bass lines are one good example). The organ is a really good addition to guitar and bass, and all three of them get their moments on the album, even going on in very playful takes with each others. Jamming feeling in some of the tracks!",1,1,1,,,0,2017-06-03 14:04:04.334626
4,Octopus,1972,TPT 281,"An album truly worth revisiting again and again, Octopus showcases the sheer diversity available to the band, as well as showing that they can rock out and get wild with the best of them. In particular, had the band returned to the approach of A Cry For Everyone as part of their response to the punk explosion, as opposed to turning their sound to the mainstream, I suspect they'd have both kept their original audience and attracted a surprising number of younger fans, much like Peter Hammill was able to. But enough for mourning the paths not taken - this particular album is gold from beginning to end.",1,1,1,,cover-octopus.jpg,0,2017-06-04 08:56:44.471887
5,Octopus,1972,Columbia - 32022,"An album truly worth revisiting again and again, Octopus showcases the sheer diversity available to the band, as well as showing that they can rock out and get wild with the best of them. In particular, had the band returned to the approach of A Cry For Everyone as part of their response to the punk explosion, as opposed to turning their sound to the mainstream, I suspect they'd have both kept their original audience and attracted a surprising number of younger fans, much like Peter Hammill was able to. But enough for mourning the paths not taken - this particular album is gold from beginning to end.",1,1,1,,cover-octopus_die.jpg,0,2017-06-04 08:56:11.375348
6,In a Glass House,1974,tba,tba,1,1,1,,cover-glasshouse.jpg,0,2017-06-04 08:46:49.718751
7,The Power and the Glory,1975,tba,tba,1,1,0,,,0,2017-06-03 14:04:04.334626
8,Live in Verona,2001,tba,tba,6,6,1,,cover-live_in_verona.jpg,0,2017-06-04 08:47:55.549538
9,Close to the Edge,1972,tba,tba,16,1,1,signed by Rick Wakeman,cover-close_to_the_edge.jpg,0,2017-06-04 08:36:57.995262
10,Drunk,2017,tba,tba,4,1,1,"4 x 10""  orange LPs,  boxset.",cover-drunk.jpg,1,2017-06-03 14:04:04.334626
11,Technoself,,,"",25,1,1,,,0,2017-06-03 14:04:04.334626
12,Sea Between Brightness and Me,,,"",24,1,1,,cover-int_the_court.jpg,0,2017-06-04 08:47:06.663845
13,White Pony,,,"",21,1,1,,,0,2017-06-03 14:04:04.334626
14,In the Court of the Crimson King,1969,,"",17,1,1,,cover-int_the_court.jpg,0,2017-06-04 08:48:56.198649
15,Antemasque,2015,Nadie Sound 01,"",22,1,1,,cover-antemasque.jpg,0,2017-06-04 08:27:34.906248
16,Big Sun,2016,TRILPFR 046,"",23,1,1,,cover-big_sun.jpg,0,2017-06-04 08:33:37.821766
17,Interview,1976,,"",1,1,1,,cover-interview.jpg,0,2017-06-04 08:47:41.599093
18,Dlouhohrající Děcka,2015,,"",26,1,1,,cover-decka.jpg,0,2017-06-04 08:38:58.091845
19,Between Nothingness and Eternity,,,"",8,1,1,live,cover-between_nothingness.jpg,0,2017-06-04 08:28:58.661206
20,Love Devotion Surrender,,,"",19,1,1,sígned by Billy Cobham,cover-devotion.jpg,0,2017-06-04 08:48:15.360125
21,OK#1,2016,,"",14,1,1,,cover-ok1.jpg,0,2017-06-04 08:57:21.000104
